Voltage (V),Current (A),Temperature (C),eRPM,Throttle Duty,Motor Duty,Phase Current (A),Power (W),Status 1,Status 2
47.71772,138.2,32.41,111790,79,79,174.94,6594.59,1,0
47.747749,135.6,32.44,112372,79,79,171.65,6474.59,1,0
47.747749,135,32.49,112190,79,79,170.89,6445.95,1,0
47.777779,136.4,32.52,112693,79,79,172.66,6516.89,1,0
47.747749,137.4,32.57,112294,79,79,173.92,6560.54,1,0
47.777779,136.4,32.63,112294,79,79,172.66,6516.89,1,0
47.777779,136.4,32.66,111913,79,79,172.66,6516.89,1,0
47.777779,135.4,32.68,112166,79,79,171.39,6469.11,1,0
47.747749,135.2,32.74,111589,79,79,171.14,6455.5,1,0
47.777779,137.4,32.79,111991,79,79,173.92,6564.67,1,0
47.747749,138.2,32.82,111805,79,79,174.94,6598.74,1,0
47.747749,138.4,32.87,112017,79,79,175.19,6608.29,1,0
47.747749,138.6,32.9,111752,79,79,175.44,6617.84,1,0
47.747749,137.8,32.98,112698,79,79,174.43,6579.64,1,0
47.747749,135.8,33.01,111413,79,79,171.9,6484.14,1,0
47.747749,137.4,33.03,112086,79,79,173.92,6560.54,1,0
47.747749,138.4,33.09,111659,79,79,175.19,6608.29,1,0
